Sluggers , J.T. Realmuto , 20200406 , 99.7639653815893
Sluggers , J.T. Realmuto , 20200615 , 99.9999
Sluggers , J.T. Realmuto , 20200627 , 99.67320261437908
Sluggers , J.T. Realmuto , 20200527 , 99.69696969696969
Sluggers , J.T. Realmuto , 20200325 , 99.74909600767471
Sluggers , J.T. Realmuto , 20200604 , 99.88304093567251
Sluggers , J.T. Realmuto , 20200521 , 99.90138067061145
Sluggers , J.T. Realmuto , 20200628 , 99.71751412429379
Sluggers , J.T. Realmuto , 20200501 , 99.85984583041345
Sluggers , J.T. Realmuto , 20200317 , 99.74289754467155
Sluggers , J.T. Realmuto , 20200614 , 99.86206896551724
Sluggers , J.T. Realmuto , 20200223 , 99.62715105162523
Sluggers , J.T. Realmuto , 20200229 , 99.66955332725615
Sluggers , J.T. Realmuto , 20200423 , 99.76076555023924
Sluggers , J.T. Realmuto , 20200617 , 99.69135802469135
Sluggers , J.T. Realmuto , 20200407 , 99.72430090586846
Sluggers , J.T. Realmuto , 20200609 , 99.7229916897507
Sluggers , J.T. Realmuto , 20200404 , 99.79360165118679
Sluggers , J.T. Realmuto , 20200621 , 99.6779388083736
Sluggers , Walker Buehler , 20200624 , 99.76470588235294
Sluggers , Walker Buehler , 20200627 , 99.67266775777414
Sluggers , Walker Buehler , 20200323 , 99.80577398125625
Sluggers , Walker Buehler , 20200401 , 99.8849582973828
Sluggers , Walker Buehler , 20200422 , 99.87995198079231
Sluggers , Walker Buehler , 20200523 , 99.90079365079364
Sluggers , Walker Buehler , 20200310 , 99.7732309436685
Sluggers , Walker Buehler , 20200307 , 99.76399976691334
Sluggers , Walker Buehler , 20200705 , 99.860853432282
Sluggers , Walker Buehler , 20200611 , 99.87096774193547
Sluggers , Walker Buehler , 20200629 , 99.88564894225271
Sluggers , Walker Buehler , 20200303 , 99.74181001240653
Sluggers , Walker Buehler , 20200321 , 99.80086092448806
Sluggers , Walker Buehler , 20200328 , 99.8512888301388
Sluggers , Walker Buehler , 20200211 , 99.61619650738822
Sluggers , Walker Buehler , 20200215 , 99.66171495808207
Sluggers , Walker Buehler , 20200615 , 99.85652797704448
Sluggers , Walker Buehler , 20200320 , 99.80244068075649
Sluggers , Walker Buehler , 20200612 , 99.70760233918129
Sluggers , Walker Buehler , 20200428 , 99.9999
Sluggers , Walker Buehler , 20200325 , 99.80425830517238
Sluggers , Walker Buehler , 20200511 , 99.62121212121212
Sluggers , Walker Buehler , 20200517 , 99.81006647673314
Sluggers , Walker Buehler , 20200708 , 99.58527734577501
Sluggers , Walker Buehler , 20200305 , 99.76107390989971
Sluggers , Walker Buehler , 20200331 , 99.83805668016194
Sluggers , Walker Buehler , 20200414 , 99.85358711566617
Sluggers , Walker Buehler , 20200426 , 99.73562458691342
Sluggers , Walker Buehler , 20200530 , 99.8931623931624
Sluggers , Walker Buehler , 20200421 , 99.94047619047619
Sluggers , Walker Buehler , 20200419 , 99.77851605758582
Sluggers , Walker Buehler , 20200613 , 99.71751412429379
Sluggers , Walker Buehler , 20200504 , 99.83987189751802
Sluggers , Walker Buehler , 20200209 , 99.52087611225188
Sluggers , Walker Buehler , 20200605 , 99.87745098039215
Sluggers , Walker Buehler , 20200316 , 99.8000565057701
Sluggers , Walker Buehler , 20200520 , 99.90601503759399
Sluggers , Walker Buehler , 20200513 , 99.70089730807578
Sluggers , Walker Buehler , 20200424 , 99.9348109517601
Sluggers , Walker Buehler , 20200610 , 99.86072423398329
Sluggers , Walker Buehler , 20200505 , 99.9999
Sluggers , Walker Buehler , 20200702 , 99.78517722878625
Sluggers , Walker Buehler , 20200606 , 99.87966305655837
Sluggers , Walker Buehler , 20200620 , 99.9999
Sluggers , Walker Buehler , 20200306 , 99.7709154219738
